voter,project_name,amount
0x00000003389ff563957d53b23a72bdcddb6f388a,0xRivendell,0.84479106
0x00000003389ff563957d53b23a72bdcddb6f388a,BayaniChain,0.84479106
0x00000003389ff563957d53b23a72bdcddb6f388a,Lorefy,0.84479106
0x00000003389ff563957d53b23a72bdcddb6f388a,Nodies,0.84479106
0x00000003389ff563957d53b23a72bdcddb6f388a,OnChainVision,0.84479106
0x00000003389ff563957d53b23a72bdcddb6f388a,Pheasant Network,0.84479106
0x00000003389ff563957d53b23a72bdcddb6f388a,Polyzoa - Scam Defender,0.84479106
0x00000003389ff563957d53b23a72bdcddb6f388a,Scale3,0.84479106
0x00000003389ff563957d53b23a72bdcddb6f388a,THX Network,0.84479106
0x0000ce08fa224696a819877070bf378e8b131acf,Mande Network,1.99910926
0x0010b5c0cdbf7436e37ae7e5a3be85a0164db881,Lorefy,1.62037708
0x001c660c2677c3de3b639bca3819acaa16d195d6,0xRivendell,1.54326872
0x001c660c2677c3de3b639bca3819acaa16d195d6,1Hive Gardens,1.54326872
0x001c660c2677c3de3b639bca3819acaa16d195d6,DeCenter AI,1.54326872
0x001c660c2677c3de3b639bca3819acaa16d195d6,FlipGuard,1.54326872
0x001c660c2677c3de3b639bca3819acaa16d195d6,Lorefy,1.54326872
0x001c660c2677c3de3b639bca3819acaa16d195d6,Nodies,1.54326872
0x001c660c2677c3de3b639bca3819acaa16d195d6,Pheasant Network,1.54326872
0x001c660c2677c3de3b639bca3819acaa16d195d6,Polyzoa - Scam Defender,1.54326872
0x001c660c2677c3de3b639bca3819acaa16d195d6,Scale3,1.54326872
0x001c660c2677c3de3b639bca3819acaa16d195d6,SmartMuv (Dapp Explorer),1.54326872
0x002189c390ab583368e0ffa5bc5a0eb4a82906cd,BayaniChain,1.10012903
0x002189c390ab583368e0ffa5bc5a0eb4a82906cd,Citizen Wallet: an open source wallet with account abstraction for your community token,1.10012903
0x002189c390ab583368e0ffa5bc5a0eb4a82906cd,Commons Stack,1.10012903
0x002189c390ab583368e0ffa5bc5a0eb4a82906cd,Domin Network: Open Network for Retail powered by RE:DREAMER Lab,1.10012903
0x002189c390ab583368e0ffa5bc5a0eb4a82906cd,Glo Dollar,1.10012903
0x002189c390ab583368e0ffa5bc5a0eb4a82906cd,Lorefy,1.10012903
0x002189c390ab583368e0ffa5bc5a0eb4a82906cd,Mande Network,1.10012903
0x002189c390ab583368e0ffa5bc5a0eb4a82906cd,OnChainVision,1.10012903
0x002189c390ab583368e0ffa5bc5a0eb4a82906cd,Polyzoa - Scam Defender,1.10012903
0x002189c390ab583368e0ffa5bc5a0eb4a82906cd,Porfo ,1.10012903
0x003a3eb1a1d2ad3bea19ae06324727beeeec2e34,Mande Network,1.05977285
0x003a3eb1a1d2ad3bea19ae06324727beeeec2e34,OnChainVision,1.05977285
0x003a3eb1a1d2ad3bea19ae06324727beeeec2e34,Pheasant Network,1.05977285
0x00409fc839a2ec2e6d12305423d37cd011279c09,Pheasant Network,10.0054483
0x0040b7495c9204e95d9417ab9592b338daa80fe6,1Hive Gardens,1.07709206
0x0040b7495c9204e95d9417ab9592b338daa80fe6,BayaniChain,1.07709206
0x0040b7495c9204e95d9417ab9592b338daa80fe6,Citizen Wallet: an open source wallet with account abstraction for your community token,1.07709206
0x0040b7495c9204e95d9417ab9592b338daa80fe6,Glo Dollar,1.07709206
0x0040b7495c9204e95d9417ab9592b338daa80fe6,Nodies,1.07709206
0x0040b7495c9204e95d9417ab9592b338daa80fe6,Pheasant Network,1.07709206
0x0040b7495c9204e95d9417ab9592b338daa80fe6,pier wallet - account abstraction infrastructure as a service,1.07709206
0x0040b7495c9204e95d9417ab9592b338daa80fe6,Polygon ALT IDM,1.07709206
0x0040b7495c9204e95d9417ab9592b338daa80fe6,Polyzoa - Scam Defender,1.07709206
0x0040b7495c9204e95d9417ab9592b338daa80fe6,SmartMuv (Dapp Explorer),1.07709206
0x00517b07db18a4210276398fe3fab14dc60f495c,Unitap,0.42248204
0x0056b349e2e8e89672618399f4d17da5b1f5b173,0xRivendell,1.04837471
0x0056b349e2e8e89672618399f4d17da5b1f5b173,BayaniChain,1.04837471
0x0056b349e2e8e89672618399f4d17da5b1f5b173,Commons Stack,1.04837471
0x0056b349e2e8e89672618399f4d17da5b1f5b173,Domin Network: Open Network for Retail powered by RE:DREAMER Lab,1.04837471
0x0056b349e2e8e89672618399f4d17da5b1f5b173,FlipGuard,1.04837471
0x0056b349e2e8e89672618399f4d17da5b1f5b173,Glo Dollar,1.04837471
0x0056b349e2e8e89672618399f4d17da5b1f5b173,Nodies,1.04837471
0x0056b349e2e8e89672618399f4d17da5b1f5b173,Polygon ALT IDM,1.04837471
0x0056b349e2e8e89672618399f4d17da5b1f5b173,Polyzoa - Scam Defender,1.04837471
0x0056b349e2e8e89672618399f4d17da5b1f5b173,THX Network,1.04837471
0x0056b349e2e8e89672618399f4d17da5b1f5b173,Unitap,1.04837471
0x0057be07beef5d9b4beb9e2d147906e83d1915c8,Pheasant Network,1.18993158
0x0057be07beef5d9b4beb9e2d147906e83d1915c8,Pheasant Network,1.18993158
0x005e4899a8b467d9cb8606a2c033375eb009883e,Polyzoa - Scam Defender,0.78342876
0x005e4899a8b467d9cb8606a2c033375eb009883e,Unitap,0.78342876
0x00671b0343534846b910fb6acc0f717fca426986,1Hive Gardens,1.12120592
0x00671b0343534846b910fb6acc0f717fca426986,Citizen Wallet: an open source wallet with account abstraction for your community token,1.12120592
0x00671b0343534846b910fb6acc0f717fca426986,Domin Network: Open Network for Retail powered by RE:DREAMER Lab,1.12120592
0x00671b0343534846b910fb6acc0f717fca426986,Lorefy,1.12120592
0x00671b0343534846b910fb6acc0f717fca426986,Mande Network,1.12120592
0x00671b0343534846b910fb6acc0f717fca426986,OnChainVision,1.12120592
0x00671b0343534846b910fb6acc0f717fca426986,Pheasant Network,1.12120592
0x00671b0343534846b910fb6acc0f717fca426986,pier wallet - account abstraction infrastructure as a service,1.12120592
0x00671b0343534846b910fb6acc0f717fca426986,Polygon ALT IDM,1.12120592
0x00671b0343534846b910fb6acc0f717fca426986,THX Network,1.12120592
0x0075f6112f4ef7b45e0a4127bf8f9f7ff6137edd,Citizen Wallet: an open source wallet with account abstraction for your community token,0.01579319
0x0075f6112f4ef7b45e0a4127bf8f9f7ff6137edd,Commons Stack,0.01579319
0x0075f6112f4ef7b45e0a4127bf8f9f7ff6137edd,Domin Network: Open Network for Retail powered by RE:DREAMER Lab,0.01579319
0x0075f6112f4ef7b45e0a4127bf8f9f7ff6137edd,Mande Network,0.01579319
0x0075f6112f4ef7b45e0a4127bf8f9f7ff6137edd,OnChainVision,0.01579319
0x0075f6112f4ef7b45e0a4127bf8f9f7ff6137edd,Pheasant Network,0.01579319
0x0097495da85482ad44275b640dc9b95d0a462128,0xRivendell,0.84761558
0x0097495da85482ad44275b640dc9b95d0a462128,1Hive Gardens,0.00847615
0x0097495da85482ad44275b640dc9b95d0a462128,BayaniChain,0.00847615
0x0097495da85482ad44275b640dc9b95d0a462128,Citizen Wallet: an open source wallet with account abstraction for your community token,0.84761558
0x0097495da85482ad44275b640dc9b95d0a462128,Commons Stack,0.84761558
0x0097495da85482ad44275b640dc9b95d0a462128,DeCenter AI,0.84761558
0x0097495da85482ad44275b640dc9b95d0a462128,FlipGuard,0.00847615
0x0097495da85482ad44275b640dc9b95d0a462128,Glo Dollar,0.84761558
0x0097495da85482ad44275b640dc9b95d0a462128,Lorefy,0.84761558
0x0097495da85482ad44275b640dc9b95d0a462128,Mande Network,0.00847615
0x0097495da85482ad44275b640dc9b95d0a462128,Nodies,0.84761558
0x0097495da85482ad44275b640dc9b95d0a462128,OnChainVision,0.84761558
0x0097495da85482ad44275b640dc9b95d0a462128,Pheasant Network,0.84761558
0x0097495da85482ad44275b640dc9b95d0a462128,pier wallet - account abstraction infrastructure as a service,0.84761558
0x0097495da85482ad44275b640dc9b95d0a462128,Polygon ALT IDM,0.00847615
0x0097495da85482ad44275b640dc9b95d0a462128,Polyzoa - Scam Defender,0.84761558
0x0097495da85482ad44275b640dc9b95d0a462128,Porfo ,0.84761558
0x0097495da85482ad44275b640dc9b95d0a462128,Scale3,0.84761558
0x0097495da85482ad44275b640dc9b95d0a462128,SmartMuv (Dapp Explorer),0.84761558
0x0097495da85482ad44275b640dc9b95d0a462128,THX Network,0.84761558
0x0097495da85482ad44275b640dc9b95d0a462128,Unitap,0.84761558
0x00a1747523007e3e031fd74bab0d21518222affd,Mande Network,0.99816772
0x00a5cc744db8fb0b3aa6b29c95eaa657203bd82c,Unitap,0.0835171
0x00a8bec03805bcfaafab1050dbcf90f57982d750,BayaniChain,5.08656205
0x00a8bec03805bcfaafab1050dbcf90f57982d750,Citizen Wallet: an open source wallet with account abstraction for your community token,5.08656205
0x00a8bec03805bcfaafab1050dbcf90f57982d750,Commons Stack,5.08656205
0x00a8bec03805bcfaafab1050dbcf90f57982d750,DeCenter AI,5.08656205
0x00a8bec03805bcfaafab1050dbcf90f57982d750,FlipGuard,5.08656205
0x00a8bec03805bcfaafab1050dbcf90f57982d750,Glo Dollar,5.08656205
0x00a8bec03805bcfaafab1050dbcf90f57982d750,Mande Network,5.08656205
0x00a8bec03805bcfaafab1050dbcf90f57982d750,Pheasant Network,5.08656205
0x00a8bec03805bcfaafab1050dbcf90f57982d750,pier wallet - account abstraction infrastructure as a service,5.08656205
0x00a8bec03805bcfaafab1050dbcf90f57982d750,THX Network,5.08656205
0x00adfee0426c0e944e934aaabd9a4cec7fb4b487,OnChainVision,7.2713746
0x00c3a46560ee16fcef4caea6e287ad677fa27196,THX Network,0.39437216
0x00cdebc042c87c95e439e1aefa0bd3a8014da577,Pheasant Network,1.27756962
0x00e28579905833afaf6a534f1840965db4e61971,0xRivendell,1.0564355
0x00e28579905833afaf6a534f1840965db4e61971,Commons Stack,1.0564355
0x00e28579905833afaf6a534f1840965db4e61971,FlipGuard,1.0564355
0x00e28579905833afaf6a534f1840965db4e61971,Glo Dollar,1.0564355
0x00e28579905833afaf6a534f1840965db4e61971,Lorefy,1.0564355
0x00e28579905833afaf6a534f1840965db4e61971,Mande Network,1.0564355
0x00e28579905833afaf6a534f1840965db4e61971,Nodies,1.0564355
0x00e28579905833afaf6a534f1840965db4e61971,Pheasant Network,1.0564355
0x00e28579905833afaf6a534f1840965db4e61971,pier wallet - account abstraction infrastructure as a service,1.0564355
0x00e28579905833afaf6a534f1840965db4e61971,Porfo ,1.0564355
0x00e8383c2e403997d867cc6d0f831557272902f9,Citizen Wallet: an open source wallet with account abstraction for your community token,90.7731036
0x00eae0f664682f868988372b1495edffd4c7e488,Polygon ALT IDM,0.08441781
0x00f619293d77303ce40683c921d1604abdbd39a5,Commons Stack,1.53329445
0x00ff21c847f4e6ea9d10422ab35e1a8614af6e77,Domin Network: Open Network for Retail powered by RE:DREAMER Lab,0.85413304
0x00ff21c847f4e6ea9d10422ab35e1a8614af6e77,Domin Network: Open Network for Retail powered by RE:DREAMER Lab,0.85413304
0x0101388431270058dd9f08d01e6b4b35f97ad975,Mande Network,0.00084548
0x01203f76d09531b84e67f776a0ea72129de0fd95,0xRivendell,1.55168564
0x01203f76d09531b84e67f776a0ea72129de0fd95,Citizen Wallet: an open source wallet with account abstraction for your community token,1.55168564
0x01203f76d09531b84e67f776a0ea72129de0fd95,Domin Network: Open Network for Retail powered by RE:DREAMER Lab,1.55168564
0x01203f76d09531b84e67f776a0ea72129de0fd95,Glo Dollar,1.55168564
0x01203f76d09531b84e67f776a0ea72129de0fd95,Mande Network,1.55168564
0x01203f76d09531b84e67f776a0ea72129de0fd95,Nodies,1.55168564
0x01203f76d09531b84e67f776a0ea72129de0fd95,pier wallet - account abstraction infrastructure as a service,1.55168564
0x01203f76d09531b84e67f776a0ea72129de0fd95,Polyzoa - Scam Defender,1.55168564
0x01203f76d09531b84e67f776a0ea72129de0fd95,Porfo ,1.55168564
0x01203f76d09531b84e67f776a0ea72129de0fd95,Unitap,1.55168564
0x0123f9d84f929ea1d41a82c5bc3f1d5f285ed225,Domin Network: Open Network for Retail powered by RE:DREAMER Lab,2.45060136
0x012e414b3043e5de1714cc0a03fa6e0125efd80e,Citizen Wallet: an open source wallet with account abstraction for your community token,0.08396237
0x013108da0dfa523aa9f7b4e469d2f1c03b96a6be,Pheasant Network,0.85249122
0x0147e150d6bcbb2150959ba4a8b16f7a9d3fee84,Mande Network,1.15603683
0x014bbaee66dd73d25a53d1bf4d6ea8d7c630e661,0xRivendell,0.07752516
0x014bbaee66dd73d25a53d1bf4d6ea8d7c630e661,1Hive Gardens,0.07752516
0x014bbaee66dd73d25a53d1bf4d6ea8d7c630e661,BayaniChain,0.07752516
0x014bbaee66dd73d25a53d1bf4d6ea8d7c630e661,Citizen Wallet: an open source wallet with account abstraction for your community token,0.07752516
0x014bbaee66dd73d25a53d1bf4d6ea8d7c630e661,Commons Stack,0.07752516
0x014bbaee66dd73d25a53d1bf4d6ea8d7c630e661,DeCenter AI,0.07752516
0x014bbaee66dd73d25a53d1bf4d6ea8d7c630e661,Domin Network: Open Network for Retail powered by RE:DREAMER Lab,0.07752516
0x014bbaee66dd73d25a53d1bf4d6ea8d7c630e661,FlipGuard,0.07752516
0x014bbaee66dd73d25a53d1bf4d6ea8d7c630e661,Glo Dollar,0.07752516
0x014bbaee66dd73d25a53d1bf4d6ea8d7c630e661,Lorefy,0.07752516
0x014bbaee66dd73d25a53d1bf4d6ea8d7c630e661,Mande Network,0.07752516
0x014bbaee66dd73d25a53d1bf4d6ea8d7c630e661,Nodies,0.07752516
0x014bbaee66dd73d25a53d1bf4d6ea8d7c630e661,OnChainVision,0.07752516
0x014bbaee66dd73d25a53d1bf4d6ea8d7c630e661,Pheasant Network,0.07752516
0x014bbaee66dd73d25a53d1bf4d6ea8d7c630e661,pier wallet - account abstraction infrastructure as a service,0.07752516
0x014bbaee66dd73d25a53d1bf4d6ea8d7c630e661,Polygon ALT IDM,0.07752516
0x014bbaee66dd73d25a53d1bf4d6ea8d7c630e661,Polyzoa - Scam Defender,0.07752516
0x014bbaee66dd73d25a53d1bf4d6ea8d7c630e661,Porfo ,0.07752516
0x014bbaee66dd73d25a53d1bf4d6ea8d7c630e661,Scale3,0.07752516
0x014bbaee66dd73d25a53d1bf4d6ea8d7c630e661,SmartMuv (Dapp Explorer),0.07752516
0x014bbaee66dd73d25a53d1bf4d6ea8d7c630e661,THX Network,0.07752516
0x014bbaee66dd73d25a53d1bf4d6ea8d7c630e661,Unitap,0.07752516
0x014c2d27ebdc45a7011324274d9d61ef0e6f719b,0xRivendell,10.09780404
0x014c2d27ebdc45a7011324274d9d61ef0e6f719b,Porfo ,4.20741835
0x014c2d27ebdc45a7011324274d9d61ef0e6f719b,THX Network,1.68296734
0x01586ee9917913c53f89b7c85ac1bdf357e13164,0xRivendell,0.10294562
0x01586ee9917913c53f89b7c85ac1bdf357e13164,1Hive Gardens,0.10294562
0x01586ee9917913c53f89b7c85ac1bdf357e13164,BayaniChain,0.10294562
0x01586ee9917913c53f89b7c85ac1bdf357e13164,Citizen Wallet: an open source wallet with account abstraction for your community token,0.10294562
0x01586ee9917913c53f89b7c85ac1bdf357e13164,Commons Stack,0.10294562
0x01586ee9917913c53f89b7c85ac1bdf357e13164,DeCenter AI,0.10294562
0x01586ee9917913c53f89b7c85ac1bdf357e13164,Domin Network: Open Network for Retail powered by RE:DREAMER Lab,0.10294562
0x01586ee9917913c53f89b7c85ac1bdf357e13164,FlipGuard,0.10294562
