project_name,matching_amount_cocm,matching_percent_cocm,matching_amount_dpcm,matching_percent_dpcm,matching_amount,matching_percent
0xRivendell,1231375.7455662366,4.1045858185541215,1272050.8114620736,4.240169371540245,1058334.3573809513,3.5277811912698374
1Hive Gardens,1049498.6940622737,3.498328980207579,854181.493126879,2.8472716437562635,761147.2562438507,2.5371575208128356
BayaniChain,1615339.7927997825,5.384465975999275,1334444.132550048,4.44814710850016,1390506.2091581044,4.635020697193681
Citizen Wallet: an open source wallet with account abstraction for your community token,1209374.774270095,4.031249247566983,1264693.9549622887,4.2156465165409625,984082.8052802825,3.280276017600942
Commons Stack,1460955.48669,4.8698516223,1663963.6522643836,5.546545507547945,1317890.9644686205,4.392969881562069
DeCenter AI,1362263.3009280579,4.540877669760193,1497139.9253428553,4.990466417809518,1346620.1169552493,4.488733723184164
Domin Network: Open Network for Retail powered by RE:DREAMER Lab,1070490.3614931945,3.568301204977315,1044986.2575595509,3.483287525198503,819766.1781580333,2.7325539271934445
FlipGuard,1213057.3756598998,4.0435245855329995,1043918.2992649932,3.479727664216644,942581.2070611569,3.141937356870523
Glo Dollar,1177466.0733242303,3.9248869110807676,1146705.5164296008,3.8223517214320024,967222.1866473379,3.224073955491126
Lorefy,1149877.7792622421,3.8329259308741404,1143691.4292891887,3.8123047642972954,964248.0049480563,3.214160016493521
Mande Network,2540946.992796787,8.469823309322623,3328654.3932909872,11.095514644303291,4450225.858551966,14.83408619517322
Nodies,1117607.6609511334,3.7253588698371107,1012043.7239913002,3.3734790799710006,758459.4160102268,2.528198053367423
OnChainVision,1359252.5012615141,4.530841670871713,1097593.665859176,3.658645552863921,1501076.7733862824,5.003589244620941
Pheasant Network,1788624.900688583,5.9620830022952775,2187538.6459073285,7.291795486357762,3103426.9302810235,10.344756434270078
Polygon ALT IDM,1163225.417928251,3.8774180597608363,1105610.8536599565,3.685369512199855,926111.3516274397,3.0870378387581323
Polyzoa - Scam Defender,1757933.2450352532,5.859777483450844,2048557.7913822047,6.828525971274016,2333682.936127571,7.778943120425237
Porfo ,1612599.6794720853,5.375332264906952,1275534.5980456446,4.251781993485482,1340154.2875787378,4.467180958595793
Scale3,1292403.0556275279,4.308010185425093,1268529.5307176514,4.228431769058838,1431062.0500168581,4.770206833389527
SmartMuv (Dapp Explorer),1057542.673096145,3.5251422436538165,956593.3606584127,3.1886445355280424,745663.6283731555,2.4855454279105182
THX Network,1064073.157363532,3.546910524545107,966413.342372346,3.22137780790782,805253.5270160895,2.6841784233869648
Unitap,1372866.6595233693,4.576222198411231,1509827.5654357888,5.03275855145263,1282038.5469333522,4.273461823111174
jpnft,310063.78525294573,1.0335459508431524,58304.79816315792,0.1943493272105264,64270.16931397861,0.214233897713262
pier wallet - account abstraction infrastructure as a service,1023160.8869468612,3.4105362898228706,919022.2582641811,3.0634075275472705,706175.2384816714,2.3539174616055716
